(-1016.0256708364562, -263.9448781494522) 
(-1016.9672008037928, -283.5238525932132) 
(-389.76070698589257, -315.9741346848776) 
(-373.77474109973735, -316.0738725611851) 
(-362.4122491513477, -316.2567970258687) 
(-351.7926588894601, -316.9292904600078) 
(-337.7445996409234, -316.3323377610837) 
(-327.75276513481293, -316.679944812557) 
(-316.080971324277, -316.42595036864725) 
(-306.43176063522515, -318.18648395869377) 
(-296.3253248368265, -318.1176894804016) 
(-284.52516766609745, -317.38697431460406) 
(-275.5264766111755, -317.6561201775142) 
(-266.65722070690134, -318.3182199385874) 
(-257.1856343257114, -318.6625166166888) 
(-247.8119775920036, -318.43598063337674) 
(-240.3380840873655, -319.12044017457487) 
(-231.58738940323445, -318.7526957837293) 
(-222.7172375395252, -318.62767394368416) 
(-214.99336984151756, -319.68017364889624) 
(-206.57690982328438, -319.2429213433912) 
(-199.5146029838017, -319.2901082028944) 
(-191.49851505161206, -320.0895479909138) 
(-184.31350100207518, -320.2480028795777) 
(-176.50007565891374, -320.05932776970855) 
(-169.60164194608657, -320.66001551361444) 
(-161.34782736464547, -320.9788795305831) 
(-155.73297728087053, -320.4080246923224) 
(-148.41626442728918, -320.55915983395164) 
(-142.6036764364415, -320.9996167705044) 
(-135.35279677207876, -320.32746199159436) 
(-128.8205384163236, -320.8556238904478) 
(-122.92639081172922, -321.0189479485627) 
(-116.53500516298921, -321.26726423907877) 
(-109.83646578442179, -320.97743422861913) 
(-103.99848666511582, -321.8654645521413) 
(-97.608222726813, -321.77118788995523) 
(-91.1675371202941, -321.57665132192017) 
(-85.77138018289283, -321.5055720225105) 
(-79.67069772529247, -321.7838248327052) 
(-74.2900856970615, -321.7857138953239) 
(-67.70070231774532, -321.9590267498087) 
(-62.058438677546654, -322.0756901551329) 
(-55.68619811051035, -321.96988964808025) 
(-50.76289038432133, -322.7827310433899) 
(-44.24577383507018, -322.4787768175385) 
(-39.343615281479565, -322.60979516527846) 
(-33.62951970214373, -322.50134558572483) 
(-27.005962895534914, -322.87254136591577) 
(-17.472751631576177, -323.27815492300317) 
(-16.50290962255701, -323.32911479480117) 
(-8.115474975638815, -323.3981896453964) 
(-2.1140149634547214, -322.99308187751376) 
(4.583790022527467, -323.2174985501704) 
(10.857525025081832, -323.5678856906688) 
(12.269248429149098, -323.5174308178523) 
(21.98406227126185, -323.2533078037304) 
(27.753059484761163, -323.31102314835374) 
(32.611214054730766, -323.86225269067177) 
(39.16985147096707, -323.38643328955897) 
(41.99878323744807, -323.7875108872698) 
(51.14407320248969, -323.48189095567375) 
(55.366421850920176, -323.80057030744393) 
(62.1246188885888, -323.8450157528252) 
(68.20058865245159, -323.89763769972) 
(73.09492458873085, -323.8535656733885) 
(80.29979461703206, -323.9459916166003) 
(85.73330567979656, -323.8437899624054) 
(91.29851393525844, -324.3972585476231) 
(99.0986235672413, -324.45342548211477) 
(105.36353866327298, -324.57678170250097) 
(110.33409646531018, -325.033766949195) 
(118.07624221026879, -324.9631725680649) 
(123.82559470925129, -325.2248792680232) 
(130.7722132265569, -325.45996796507546) 
(137.5735537604436, -325.0884761195363) 
(143.72099979295288, -325.4263921665144) 
(151.25954081583475, -325.30311067092924) 
(158.26699323079137, -325.8475431143906) 
(165.02078112954828, -325.8461359221461) 
(172.29002083289583, -325.74284139701416) 
(180.0506132356951, -325.23812687544824) 
(187.89421335101989, -326.2637193884748) 
(195.83367349687396, -326.5267750502549) 
(203.5303923173225, -326.5087164275355) 
(210.9275821243606, -326.5518605048379) 
(220.09317661567962, -326.49357743640115) 
(228.5354172047611, -326.7615729902244) 
(236.60511213530444, -327.1575819256525) 
(246.11449717088828, -326.9758657490195) 
(254.89971783793578, -327.1753296722427) 
(261.28051188128677, -327.5568563029215) 
(200.98875088110904, -154.4855074731979) 
(201.73202423136786, -148.0852892745083) 
(201.2397008996745, -145.79037273362584) 
(199.48676103827907, -139.19624517369908) 
(198.06153091808454, -132.4186258438919) 
(197.3315515514052, -127.6137091472351) 
(196.26543593167986, -121.8231450035159) 
(195.99098738506214, -117.4724770481512) 
(195.16178706326997, -111.96819579805181) 
(194.1949186763715, -107.57478124670978) 
(193.53349337176542, -102.49774116204142) 
(192.27799508599207, -97.31095830229609) 
(192.16830524029686, -93.5970350015004) 
(191.44922899262136, -88.70283376606875) 
(191.25211347990447, -84.90106942477072) 
(191.32331703635597, -80.96573879244245) 
(191.1258857150021, -76.85633226778357) 
(190.6838021120534, -73.19665369462768) 
(190.63588858077594, -69.03274936592042) 
(190.48130454641046, -64.94948127812597) 
(189.58178997997038, -61.31319114179598) 
(189.76044017785927, -57.39370909346334) 
(189.3484965287758, -53.45754729027684) 
(189.41795536936849, -50.367034692226305) 
(189.39905690998123, -46.40040130871387) 
(189.28329448427698, -43.64512491880939) 
(189.03797391732286, -40.12738363304501) 
(189.21866233568448, -36.7268338397719) 
(189.7461485058842, -32.44455466149803) 
(189.6769395394802, -29.776813243468034) 
(189.91289959541453, -26.479295067316226) 
(190.38374434815773, -22.8493410840514) 
(190.926342161037, -17.75371423129858) 
(190.90144619370022, -15.129039663963399) 
(191.41743075291927, -11.288476600115438) 
(191.56977029685078, -8.311775286413) 
(191.96401105218246, -3.7173190282202357) 
