(192.47674392111128, 2.9921646891430718) 
(192.68531819991813, 4.993060203552627) 
(193.49811889264163, 9.876258654426039) 
(193.3853843744039, 11.880892658552913) 
(194.02273900267653, 16.81485206296099) 
(194.16729827382383, 18.0016743955647) 
(194.225126712005, 22.290135793790036) 
(194.3918930856628, 26.941685221460197) 
(194.9296938207646, 30.165824486378) 
(194.7622662297587, 31.228547085136693) 
(195.26201654794505, 37.07165215673601) 
(195.2304736674372, 41.05255353310086) 
(195.5922716247735, 44.08983194185274) 
(195.76454450866746, 47.73356380277886) 
(196.21130522689697, 52.05884844248353) 
(195.22741816102615, 55.63501773325711) 
(195.9497350519232, 59.38235287592691) 
(195.9349949618028, 63.60407022603434) 
(195.9983872064304, 64.2160004397516) 
(196.18029772550042, 71.34320769585578) 
(196.7440883468678, 74.84660112897495) 
(195.9107219395619, 79.02880189601541) 
(197.60414543567572, 82.7989384390665) 
(196.915291319827, 85.6850660525372) 
(197.57077562894108, 90.95074830576505) 
(197.9481129661733, 93.68855091808754) 
(197.99085456631028, 99.86332664247757) 
(198.78670118522734, 104.86376844217996) 
(199.52496395300386, 109.81735409102019) 
(197.91846891370332, 113.19134093584836) 
(195.83144255388, 115.785560875553) 
(212.10607090229863, 284.044476598981) 
(204.4187204913936, 283.7922641874889) 
(197.12856089146607, 284.656622935177) 
(191.291203107393, 284.10196341054404) 
(184.30300238671734, 284.82093639906753) 
(176.49095501241973, 285.0324635875781) 
(171.04040483817698, 285.71695769203575) 
(165.25000000000003, 286.22139595075697) 
(157.63160585503934, 286.2129265696459) 
(151.21156660604285, 285.7019856853401) 
(145.4890337046017, 286.69703708218066) 
(139.52755481298937, 286.86767236464317) 
(133.62942859117067, 287.1824129615134) 
(126.9325610370936, 287.2004960799415) 
(121.61376292589891, 287.5937328367975) 
(114.63720424374826, 288.02484511440525) 
(110.24227702536956, 288.1299886444687) 
(104.74366889348607, 287.78086511568443) 
(98.98365085957936, 288.49131158929015) 
(93.23737200649337, 288.56083407372313) 
(88.0599480534839, 288.87617684540504) 
(82.81909203420746, 289.1220512078411) 
(76.17429625264135, 289.65104279186505) 
(71.91642402893538, 289.44963371006423) 
(66.35990404116846, 289.2350698578008) 
(60.67305216691876, 289.7149991642655) 
(55.814754298403145, 289.6717335236714) 
(50.62175719562055, 289.86289896850826) 
(45.75540009395024, 289.9115267840217) 
(40.54032773841487, 290.18180822867225) 
(34.82513654140293, 290.1676625071661) 
(29.54649813437238, 290.25000766235223) 
(25.089116784421087, 290.41829525527083) 
(17.002123881341387, 291.0037418720308) 
(15.004890384234447, 290.8632251842043) 
(9.608816107121976, 291.0914515285867) 
(2.223909646574357, 291.2415092768953) 
(-2.9412389417421676, 291.4851610519609) 
(-9.704830728447469, 291.58854360302325) 
(-14.976815776867433, 291.86599234783375) 
(-15.8522822020552, 291.8197519856845) 
(-24.422059038245944, 291.98041549448556) 
(-28.9519749697807, 292.31976608732634) 
(-35.731088742824205, 292.324373423176) 
(-38.85714771527498, 292.6818828889709) 
(-45.983464201501256, 292.9125654867494) 
(-50.57346377748708, 292.40876741566285) 
(-56.42966260847025, 292.8630322828305) 
(-61.89823871515146, 292.7783642005709) 
(-66.44859334299129, 292.5484309353543) 
(-70.38377720255546, 293.1695309998995) 
(-78.07179579479939, 293.28662550715666) 
(-83.85174904211532, 292.7270643151707) 
(-86.33887290248893, 293.8276051121267) 
(-94.05818113529998, 293.28664913616353) 
(-100.20716509782424, 293.6215022151092) 
(-106.71576815823215, 293.4481339630539) 
(-112.53711761534956, 293.4083496746965) 
(-118.5899654486953, 293.98200641344914) 
(-124.16259430709746, 293.8446020857472) 
(-128.66029305171685, 294.36047882120033) 
(-135.53354446023553, 294.84047945634154) 
(-143.00965892220722, 295.45947260995706) 
(-149.83580023908675, 294.86402877718484) 
(-155.28244252842467, 295.14337709392447) 
(-163.05922595485262, 294.9248867610265) 
(-168.34817851531025, 295.1083755005561) 
